COLUMN_NAME	DATA_TYPE	DATA_LENGTH	DATA_PRECISION	DATA_SCALE	NULLABLE	TABLE_NAME	COLUMN_ID
TENANT_ID	VARCHAR2	36			Y	INVOICE_LINE	7
LINE_NO	NUMBER	22	6	0	Y	INVOICE_LINE	8
LINE_TYPE_CD	NUMBER	22	4	0	Y	INVOICE_LINE	9
ITEM_DESC	VARCHAR2	400			Y	INVOICE_LINE	10
QTY	NUMBER	22	12	3	Y	INVOICE_LINE	11
UNIT_PRICE	NUMBER	22	14	4	Y	INVOICE_LINE	12
AMOUNT	NUMBER	22	14	2	Y	INVOICE_LINE	13
TAX_AMT	NUMBER	22	14	2	Y	INVOICE_LINE	14
INVOICE_DT	VARCHAR2	9			Y	INVOICE_LINE	15
SERVICE_PERIOD	VARCHAR2	20			Y	INVOICE_LINE	16
POSTED_YN	CHAR	1			Y	INVOICE_LINE	17
GL_ACCT_CSV	VARCHAR2	200			Y	INVOICE_LINE	18
BATCH_NO	NUMBER	22	8	0	Y	INVOICE_LINE	19
SRC_SYSTEM	VARCHAR2	10			Y	INVOICE_LINE	20
ID	VARCHAR2	36			N	INVOICE_LINES	1
INVOICE_ID	VARCHAR2	36			N	INVOICE_LINES	2
LINE_NO	NUMBER	22	6	0	N	INVOICE_LINES	3
LINE_TYPE	VARCHAR2	10			N	INVOICE_LINES	4
DESCRIPTION	VARCHAR2	400			N	INVOICE_LINES	5
AMOUNT	NUMBER	22	12	2	N	INVOICE_LINES	6
ID	VARCHAR2	36			N	NOTIFICATIONS	1
TENANT_ID	VARCHAR2	36			N	NOTIFICATIONS	2
KIND_CD	NUMBER	22	4	0	N	NOTIFICATIONS	3
SENT_AT	TIMESTAMP(6)	11		6	N	NOTIFICATIONS	4
ID	VARCHAR2	36			N	PLANS	1
CODE	VARCHAR2	50			N	PLANS	2
TIER_CD	NUMBER	22	4	0	N	PLANS	3
MONTHLY_FEE	NUMBER	22	12	2	N	PLANS	4
INCLUDED_UNITS	NUMBER	22	10	0	N	PLANS	5
OVERAGE_RATE	NUMBER	22	12	6	N	PLANS	6
ACTIVE_YN	CHAR	1			N	PLANS	7
ID	VARCHAR2	36			N	RATING_PERIODS	1
TENANT_ID	VARCHAR2	36			N	RATING_PERIODS	2
PERIOD_START	DATE	7			N	RATING_PERIODS	3
PERIOD_END	DATE	7			N	RATING_PERIODS	4
ID	VARCHAR2	36			N	RATING_RESULTS	1
PERIOD_ID	VARCHAR2	36			N	RATING_RESULTS	2
SUBSCRIPTION_ID	VARCHAR2	36			N	RATING_RESULTS	3
USED_UNITS	NUMBER	22	10	0	N	RATING_RESULTS	4
QUOTA_UNITS	NUMBER	22	10	0	N	RATING_RESULTS	5
ROLLOVER_UNITS	NUMBER	22	10	0	N	RATING_RESULTS	6
BILLABLE_UNITS	NUMBER	22	10	0	N	RATING_RESULTS	7
OVERAGE_AMOUNT	NUMBER	22	12	2	N	RATING_RESULTS	8
CREATED_AT	TIMESTAMP(6)	11		6	N	RATING_RESULTS	9
ID	VARCHAR2	36			N	SUBSCRIPTIONS	1
TENANT_ID	VARCHAR2	36			N	SUBSCRIPTIONS	2
PLAN_ID	VARCHAR2	36			N	SUBSCRIPTIONS	3
STARTS_ON	DATE	7			N	SUBSCRIPTIONS	4
ENDS_ON	DATE	7			Y	SUBSCRIPTIONS	5
STATUS_CD	NUMBER	22	4	0	N	SUBSCRIPTIONS	6
SUSPENDED_ON	DATE	7			Y	SUBSCRIPTIONS	7
HIST_ID	NUMBER	22	12	0	N	SUBSCRIPTIONS_HIST	1
HIST_DT	VARCHAR2	20			Y	SUBSCRIPTIONS_HIST	2
HIST_OP	VARCHAR2	3			Y	SUBSCRIPTIONS_HIST	3
ID	VARCHAR2	36			Y	SUBSCRIPTIONS_HIST	4
TENANT_ID	VARCHAR2	36			Y	SUBSCRIPTIONS_HIST	5
PLAN_ID	VARCHAR2	36			Y	SUBSCRIPTIONS_HIST	6
STARTS_ON	DATE	7			Y	SUBSCRIPTIONS_HIST	7
ENDS_ON	DATE	7			Y	SUBSCRIPTIONS_HIST	8
STATUS_CD	NUMBER	22	4	0	Y	SUBSCRIPTIONS_HIST	9
SUSPENDED_ON	DATE	7			Y	SUBSCRIPTIONS_HIST	10
ID	VARCHAR2	36			N	TENANTS	1
NAME	VARCHAR2	200			N	TENANTS	2
TAX_EXEMPT_YN	CHAR	1			N	TENANTS	3
STATUS_CD	NUMBER	22	4	0	N	TENANTS	4
ID	VARCHAR2	36			N	USAGE_EVENTS	1
TENANT_ID	VARCHAR2	36			N	USAGE_EVENTS	2
OCCURRED_AT	TIMESTAMP(6)	11		6	N	USAGE_EVENTS	3
UNITS	NUMBER	22	10	0	N	USAGE_EVENTS	4
KIND_CD	NUMBER	22	4	0	N	USAGE_EVENTS	5
